"","Package","Function","Valgrind_Issue","Issued_Files","exported"
"27","BAMBI","vmsin_var_cor_singlepar_cpp","37 bytes in 1 blocks are definitely lost in loss record 21 of 1,354","src/vmsin_llik_grad.cpp : 965",FALSE
"28","BAMBI","vmsin_var_corr_mc","37 bytes in 1 blocks are definitely lost in loss record 21 of 1,353","src/vmsin_llik_grad.cpp : 965",FALSE
"29","BCT","ML","62 bytes in 1 blocks are possibly lost in loss record 32 of 1,327","bct_rcpp.cpp : 472",TRUE
"30","BCT","compute_counts","62 bytes in 1 blocks are possibly lost in loss record 32 of 1,332","bct_rcpp.cpp : 497",TRUE
"31","BNSL","BDeu_cmi","Invalid read of size 8","mi_cmi.cpp : 112",FALSE
"32","BNSL","BDeu_mi","Invalid read of size 8","mi_cmi.cpp : 65",FALSE
"33","BNSL","Jeffreys_cmi","Invalid read of size 8","mi_cmi.cpp : 102",FALSE
"34","BNSL","Jeffreys_mi","Invalid read of size 8","mi_cmi.cpp : 55",FALSE
"35","BNSL","MDL_cmi","Invalid read of size 8","mi_cmi.cpp : 77",FALSE
"36","BNSL","MDL_mi","Invalid read of size 8","mi_cmi.cpp : 28",FALSE
"37","BNSL","cmi","Invalid read of size 8","mi_cmi.cpp : 102",TRUE
"38","BNSL","cont_cmi","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,357","mi_cmi.cpp : 158",FALSE
"39","BNSL","cont_mi","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,354","mi_cmi.cpp : 139",FALSE
"40","BNSL","empirical_cmi","Invalid read of size 8","mi_cmi.cpp : 77",FALSE
"41","BNSL","empirical_mi","Invalid read of size 8","mi_cmi.cpp : 28",FALSE
"42","BNSL","mi","Invalid read of size 8","mi_cmi.cpp : 55",TRUE
"43","BNSL","parent","Invalid read of size 4","parent_set.cpp : 71",FALSE
"44","BWStest","murakami_stat_perms","Invalid read of size 4","murakami_stat.cpp : 185",TRUE
"45","Benchmarking","chol_downdate","Invalid read of size 8","chol_down.cpp : 65",FALSE
"46","Benchmarking","chol_downdate2","Invalid read of size 8","chol_down.cpp : 87",FALSE
"47","Benchmarking","chol_update","Invalid read of size 8","chol_down.cpp : 129",FALSE
"48","Benchmarking","det_chol_downdate","Invalid read of size 8","chol_down.cpp : 65",FALSE
"49","Benchmarking","det_downdate","Invalid read of size 8","chol_down.cpp : 232",FALSE
"50","Benchmarking","solve_LO","Invalid read of size 8","chol_down.cpp : 216",FALSE
"51","Bestie","collectC","Invalid read of size 8","src/rcpp_fns.cpp : 11",FALSE
"52","BiDAG","collectC","Invalid read of size 8","src/cppfns.cpp : 46",FALSE
"53","BiDAG","extractT","Invalid read of size 8","src/cppfns.cpp : 13",FALSE
"54","BiDAG","takefirst","Invalid read of size 8","src/cppfns.cpp : 58",FALSE
"55","BiDAG","takelast","Invalid read of size 8","src/cppfns.cpp : 69",FALSE
"56","BigVAR","ARFitVARXR","72 bytes in 1 blocks are definitely lost in loss record 37 of 1,328","DataCons.cpp : 349",FALSE
"57","BondValuation","NumToDate","Conditional jump or move depends on uninitialised value(s)","MyRcppFunctions.cpp : 1414",FALSE
"58","BoostMLR","MatrixInversion_Equicorrelation_C","41 bytes in 1 blocks are definitely lost in loss record 21 of 1,351","BoostMLR.cpp : 745",FALSE
"59","CARBayes","binomialcarupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 136",FALSE
"60","CARBayes","binomialcarupdateRW","Invalid read of size 8","src/CARBayes.cpp : 210",FALSE
"61","CARBayes","binomialindepupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 467",FALSE
"62","CARBayes","binomialindepupdateRW","Invalid read of size 8","src/CARBayes.cpp : 521",FALSE
"63","CARBayes","gaussiancarmultilevelupdate","Invalid read of size 8","src/CARBayes.cpp : 1996",FALSE
"64","CARBayes","gaussiancarupdate","Invalid read of size 8","src/CARBayes.cpp : 1271",FALSE
"65","CARBayes","linpredcompute","Invalid read of size 8","src/CARBayes.cpp : 57",FALSE
"66","CARBayes","poissoncarupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 862",FALSE
"67","CARBayes","poissoncarupdateRW","Invalid read of size 8","src/CARBayes.cpp : 935",FALSE
"68","CARBayes","poissonindepupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 563",FALSE
"69","CARBayes","poissonindepupdateRW","Invalid read of size 8","src/CARBayes.cpp : 619",FALSE
"70","CARBayes","quadform","Use of uninitialised value of size 8","src/CARBayes.cpp : 86",FALSE
"71","CARBayes","zipcarupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 1072",FALSE
"72","CARBayes","zipcarupdateRW","Invalid read of size 8","src/CARBayes.cpp : 1000",FALSE
"73","CARBayes","zipindepupdateMALA","Invalid read of size 8","src/CARBayes.cpp : 1199",FALSE
"74","CARBayes","zipindepupdateRW","Invalid read of size 8","src/CARBayes.cpp : 1142",FALSE
"75","CDM","cdm_rcpp_din_deterministic_devcrit","Conditional jump or move depends on uninitialised value(s)","cdm_rcpp_din_deterministic_devcrit.cpp : 32",FALSE
"76","CDM","cdm_rcpp_din_validate_aggregate_max","Invalid write of size 8","cdm_rcpp_din_validate.cpp : 33",FALSE
"77","CDM","cdm_rcpp_ideal_resp_pattern","Conditional jump or move depends on uninitialised value(s)","cdm_rcpp_ideal_resp_pattern.cpp : 28",FALSE
"78","CDM","cdm_rcpp_irt_predict","Invalid read of size 8","cdm_rcpp_irt_predict.cpp : 35",FALSE
"79","CDM","cdm_rcpp_itemfit_sx2_calc_scoredistribution","Invalid read of size 8","cdm_rcpp_itemfit_sx2_calc_scoredistribution.cpp : 31",FALSE
"80","CDM","cdm_rcpp_kli_id","Invalid read of size 8","cdm_rcpp_kli.cpp : 61",FALSE
"81","CDM","cdm_rcpp_slca_calc_deriv","Invalid read of size 8","cdm_rcpp_slca.cpp : 96",FALSE
"82","CDM","cdm_rcpp_slca_calc_probs","Invalid read of size 8","cdm_rcpp_slca.cpp : 28",FALSE
"83","CENFA","doSpmax","Invalid read of size 8","ppmin.cpp : 24",FALSE
"84","CENFA","doSpmin","Invalid read of size 8","ppmin.cpp : 12",FALSE
"85","CGGP","rcpp_fastmatclcr","69 bytes in 1 blocks are possibly lost in loss record 32 of 1,326","testing_C_function.cpp : 24",TRUE
"86","CGGP","rcpp_fastmatclcranddclcr","69 bytes in 1 blocks are possibly lost in loss record 32 of 1,325","testing_C_function.cpp : 64",TRUE
"87","CGGP","rcpp_gkronDBS","Invalid read of size 8","specialkronfunctions.cpp : 94",TRUE
"88","CGGP","rcpp_kronDBS","Invalid read of size 8","specialkronfunctions.cpp : 43",TRUE
"89","CKLRT","LR0_fixRho_C","Invalid read of size 8","fastEgen_RC.cpp : 190",FALSE
"90","CKLRT","LR0_fixRho_LRT_C","Conditional jump or move depends on uninitialised value(s)","fastEgen_RC.cpp : 359",FALSE
"91","CKLRT","doubleloop","Conditional jump or move depends on uninitialised value(s)","fastEgen_RC.cpp : 244",FALSE
"92","CKLRT","doubleloop_LRT","Conditional jump or move depends on uninitialised value(s)","fastEgen_RC.cpp : 407",FALSE
"93","CMF","p_covUsparse","Invalid read of size 8","helper.cpp : 139",FALSE
"94","CMF","p_gradUsparse","Invalid read of size 8","helper.cpp : 28",FALSE
"95","CMF","p_updateMean","43 bytes in 1 blocks are possibly lost in loss record 21 of 1,350","helper.cpp : 110",FALSE
"96","CMF","p_updatePseudoData","44 bytes in 1 blocks are possibly lost in loss record 22 of 1,353","helper.cpp : 51",FALSE
"97","CMF","p_updateTau","Invalid read of size 8","helper.cpp : 68",FALSE
"98","CPAT","cond_var_gradient_hessian_cpp","Invalid read of size 8","src/Experimental.cpp : 63",FALSE
"99","CPAT","get_lrv_vec_cpp","Invalid read of size 8","src/ChangePointTests.cpp : 183",FALSE
"100","CatReg","DoBlock","69 bytes in 1 blocks are possibly lost in loss record 32 of 1,355","src/doblock.cpp : 556",FALSE
"101","DStree","hazard","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,323","src/hazard.cpp : 29",FALSE
"102","DStree","hazardl","44 bytes in 1 blocks are possibly lost in loss record 22 of 1,278","src/hazardl.cpp : 28",FALSE
"103","DStree","hazardr","52 bytes in 1 blocks are possibly lost in loss record 26 of 1,277","src/hazardr.cpp : 29",FALSE
"104","DStree","lik","Invalid read of size 8","src/lik.cpp : 15",FALSE
"105","DriftBurstHypothesis","HACWeightC","3,739,963,456 bytes in 1 blocks are possibly lost in loss record 1,317 of 1,317","DBH.cpp : 18",FALSE
"106","EFAtools","factor_corres","53 bytes in 1 blocks are possibly lost in loss record 28 of 1,322","factor_corres.cpp : 37",FALSE
"107","EFAtools","parallel_sim","100 bytes in 1 blocks are possibly lost in loss record 46 of 1,323","parallel.cpp : 24",FALSE
"108","EWGoF","GoFHe","Invalid read of size 8","GoFHe.cpp : 14",FALSE
"109","ExactMultinom","multinom_test_cpp","Invalid write of size 8","multinom_test.cpp : 343",TRUE
"110","FDRSeg","dfdrseg_cpp","Invalid read of size 8","auxfun.cpp : 165",FALSE
"111","FDRSeg","smuce_cpp","Invalid write of size 4","smuce.cpp : 79",FALSE
"112","FENmlm","cpp_log_a_exp","Invalid read of size 8","misc_funs.cpp : 46",FALSE
"113","FENmlm","cpp_table","58 bytes in 1 blocks are possibly lost in loss record 31 of 1,264","misc_funs.cpp : 204",FALSE
"114","FENmlm","cpp_tapply_sum","Invalid read of size 8","misc_funs.cpp : 163",FALSE
"115","FENmlm","cpp_tapply_vsum","60 bytes in 1 blocks are possibly lost in loss record 31 of 1,265","misc_funs.cpp : 185",FALSE
"116","FENmlm","get_n_cells","Conditional jump or move depends on uninitialised value(s)","convergence.cpp : 1441",FALSE
"117","FKSUM","dksum","Invalid read of size 8","FKSUM_CPP_FUNCTIONS.cpp : 337",FALSE
"118","FKSUM","fk_md_b","Conditional jump or move depends on uninitialised value(s)","mdh.cpp : 656",FALSE
"119","FKSUM","fk_md_dp","Conditional jump or move depends on uninitialised value(s)","mdh.cpp : 312",FALSE
"120","FKSUM","kndksum","Invalid read of size 8","FKSUM_CPP_FUNCTIONS.cpp : 455",FALSE
"121","FKSUM","ksum","Invalid read of size 8","FKSUM_CPP_FUNCTIONS.cpp : 229",FALSE
"122","FSSF","fssf_b","136 bytes in 1 blocks are possibly lost in loss record 50 of 1,321","ANN.cpp : 126",FALSE
"123","FeatureHashing","pair_sort","Invalid read of size 8","as.cpp : 31",FALSE
"124","FlyingR","minpowspeed_cpp","Invalid read of size 8","minimum_power_speed.cpp : 23",FALSE
"125","GBJ","ebb_crossprob_cor_R","Invalid read of size 8","ebb_crossprob_cor_R.cpp : 555",FALSE
"126","GDINA","alpha2","100 bytes in 1 blocks are possibly lost in loss record 46 of 1,321","util.cpp : 140",FALSE
"127","GDINA","combnCpp","56 bytes in 1 blocks are possibly lost in loss record 33 of 1,321","util.cpp : 20",FALSE
"128","GGIR","resample","51 bytes in 1 blocks are possibly lost in loss record 26 of 1,322","resample.cpp : 14",FALSE
"129","GPGame","nonDomSet","Conditional jump or move depends on uninitialised value(s)","src/domination.cpp : 112",FALSE
"130","GPareto","EHI_2d_wrap_Rcpp","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,325","EHI_2d_rcpp.cpp : 150",FALSE
"131","GPareto","nonDomSet","Conditional jump or move depends on uninitialised value(s)","domination.cpp : 111",TRUE
"132","GPvecchia","ic0","Invalid read of size 8","ic0.cpp : 50",TRUE
"133","GUILDS","calcKDA","Invalid read of size 4","KDA_R.cpp : 39",TRUE
"134","GeDS","Knotnew","44 bytes in 1 blocks are possibly lost in loss record 22 of 1,325","GeDS1.cpp : 191",FALSE
"135","GeDS","Knotnewtest","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,325","GeDS1.cpp : 118",FALSE
"136","GenEst","calcRateC","Invalid read of size 8","tsplit.cpp : 26",FALSE
"137","GenEst","calcTsplitC","176 bytes in 1 blocks are definitely lost in loss record 57 of 1,320","tsplit.cpp : 58",FALSE
"138","GeneralizedUmatrix","Delta3DWeightsC","65 bytes in 1 blocks are possibly lost in loss record 32 of 1,323","Delta3DWeightsC.cpp : 8",FALSE
"139","Gmisc","calculateLinesAndArrow","66 bytes in 1 blocks are possibly lost in loss record 32 of 1,324","bezierArrowFn.cpp : 85",FALSE
"140","HDLSSkST","gMADD","Conditional jump or move depends on uninitialised value(s)","clust_ct.cpp : 202",FALSE
"141","HDLSSkST","rctab","Argument 'size' of function malloc has a fishy (possibly negative) value: -17179869176
","clust_ct.cpp : 618",FALSE
"142","HardyWeinberg","xChromosomal","Invalid read of size 4","HWxChromosomal.cpp : 338",FALSE
"143","HistDAWass","c_ComputeFastSSQ","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,322","Utility_fun.cpp : 790",FALSE
"144","HistDAWass","c_ComputeFastSSQ_Fuzzy_1V","69 bytes in 1 blocks are possibly lost in loss record 32 of 1,324","Utility_fun.cpp : 1724",FALSE
"145","IFC","cpp_computeGamma","34 bytes in 1 blocks are possibly lost in loss record 20 of 1,322","ifc.cpp : 115",FALSE
"146","IFC","cpp_writeBMP","65 bytes in 1 blocks are possibly lost in loss record 32 of 1,322","ifc.cpp : 140",FALSE
"147","IHSEP","mloglik1e","Invalid read of size 8","mloglik1e.cpp : 38",FALSE
"148","IntegratedMRF","splitt","Invalid read of size 8","src/rcpp_hello.cpp : 40",TRUE
"149","IsingSampler","Hvec","Invalid read of size 4","IsingCpp_CFTP.cpp : 347",FALSE
"150","IsingSampler","IsingProcess","Invalid read of size 8","IsingCpp_CFTP.cpp : 186",FALSE
"151","IsingSampler","vec2Thresh","Invalid read of size 8","IsingCpp_CFTP.cpp : 603",FALSE
"152","KONPsurv","hhgsurv_test_stat","Invalid read of size 8","rcpp_code.cpp : 138",FALSE
"153","KSgeneral","ks_c_cdf_Rcpp","27 bytes in 1 blocks are definitely lost in loss record 19 of 1,322","crossprob_new.cc : 31",FALSE
"154","LassoNet","betanew_lasso_cpp","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,356","betanew_lasso_cpp.cpp : 45",FALSE
"155","Lmoments","shiftedlegendre","100 bytes in 1 blocks are possibly lost in loss record 44 of 1,321","Lmoments.cpp : 197",TRUE
"156","MAVE","MAVEfastCpp","62 bytes in 1 blocks are possibly lost in loss record 32 of 1,326","MAVEfast_R.cpp : 20",FALSE
"157","MESS","repmat","100 bytes in 1 blocks are possibly lost in loss record 46 of 1,321","repmat.cpp : 33",TRUE
"158","MM4LMM","chol_inverse","Invalid read of size 16","All.cpp : 78",FALSE
"159","MPBoost","mpboost","73 bytes in 1 blocks are possibly lost in loss record 35 of 1,349","mpboost.cpp : 39",FALSE
"160","ModelMetrics","brier_","Invalid read of size 8","confusionMatrix_.cpp : 111",FALSE
"161","ModelMetrics","logLoss_","Invalid read of size 8","logLoss_.cpp : 7",FALSE
"162","ModelMetrics","mae_","Conditional jump or move depends on uninitialised value(s)","error.cpp : 6",FALSE
"163","ModelMetrics","mlogLoss_","Conditional jump or move depends on uninitialised value(s)","logLoss_.cpp : 26",FALSE
"164","ModelMetrics","mse_","Conditional jump or move depends on uninitialised value(s)","error.cpp : 33",FALSE
"165","ModelMetrics","msle_","Invalid read of size 8","error.cpp : 42",FALSE
"166","ModelMetrics","npv_","Conditional jump or move depends on uninitialised value(s)","confusionMatrix_.cpp : 10",FALSE
"167","ModelMetrics","plogLoss_","Invalid read of size 8","logLoss_.cpp : 35",FALSE
"168","ModelMetrics","rmse_","Invalid read of size 8","error.cpp : 32",FALSE
"169","ModelMetrics","rmsle_","Conditional jump or move depends on uninitialised value(s)","error.cpp : 42",FALSE
"170","MuChPoint","Compute_Cn1n2","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,321","MuChPoint_cpp.cpp : 29",TRUE
"171","MultivariateRandomForest","splitt2","Invalid read of size 8","rcpp.cpp : 28",TRUE
"172","NAM","KMUP","Invalid read of size 8","Functions.cpp : 695",FALSE
"173","NAM","KMUP2","Invalid read of size 8","Functions.cpp : 745",FALSE
"174","NAM","SAMP","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,352","Functions.cpp : 785",FALSE
"175","NAM","SAMP2","59 bytes in 1 blocks are possibly lost in loss record 31 of 1,353","Functions.cpp : 796",FALSE
"176","NAM","SPC","Invalid read of size 8","Functions.cpp : 897",FALSE
"177","NAM","SPM","Invalid read of size 8","Functions.cpp : 905",FALSE
"178","NAM","emBA","Invalid read of size 8","Functions.cpp : 30",FALSE
"179","NAM","emBB","Invalid read of size 8","Functions.cpp : 80",FALSE
"180","NAM","emBC","Invalid read of size 8","Functions.cpp : 135",FALSE
"181","NAM","emBD","Invalid read of size 8","Functions.cpp : 193",FALSE
"182","NAM","emBL","Invalid read of size 8","Functions.cpp : 305",FALSE
"183","NAM","emEN","Invalid read of size 8","Functions.cpp : 430",FALSE
"184","NAM","emGWA","Invalid read of size 8","Functions.cpp : 1009",FALSE
"185","NAM","emMX","Conditional jump or move depends on uninitialised value(s)","Functions.cpp : 549",FALSE
"186","NAM","emRR","Invalid read of size 8","Functions.cpp : 248",FALSE
"187","NAM","gs","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,352","Functions.cpp : 645",FALSE
"188","NAM","mkr","29 bytes in 1 blocks are definitely lost in loss record 19 of 1,365","Functions.cpp : 1502",FALSE
"189","NAM","mkr2X","29 bytes in 1 blocks are definitely lost in loss record 19 of 1,366","Functions.cpp : 1590",FALSE
"190","NAM","mrr","Invalid read of size 8","Functions.cpp : 1225",FALSE
"191","NAM","mrr2X","Invalid read of size 8","Functions.cpp : 1389",FALSE
"192","NAM","mrrFast","Invalid read of size 8","Functions.cpp : 1711",FALSE
"193","NAM","mrrV2","Invalid read of size 8","Functions.cpp : 1305",FALSE
"194","NAM","timesVec","Invalid read of size 8","Functions.cpp : 826",FALSE
"195","NHMM","Crtnorm","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,289","src/Crtnorm.cpp : 64",FALSE
"196","NHMM","rcpp_dmvnorm","Invalid read of size 8","src/rcpp_dmvnorm.cpp : 31",FALSE
"197","NHMM","rcpp_dot","44 bytes in 1 blocks are possibly lost in loss record 22 of 1,351","src/rcpp_dot.cpp : 28",FALSE
"198","NHMM","rcpp_getNQQ","Invalid read of size 8","src/rcpp_getNQQ.cpp : 41",FALSE
"199","NHMM","rcpp_getWbin","58 bytes in 1 blocks are possibly lost in loss record 31 of 1,285","src/rcpp_getWbin.cpp : 30",FALSE
"200","NHMM","rcpp_getppp","Invalid read of size 8","src/rcpp_getppp.cpp : 49",FALSE
"201","NHMM","rcpp_getz","Conditional jump or move depends on uninitialised value(s)","src/rcpp_getz.cpp : 77",FALSE
"202","NHMM","rcpp_rmix0","Conditional jump or move depends on uninitialised value(s)","src/rcpp_rdmix0.cpp : 63",FALSE
"203","Opt5PL","DS1","Invalid read of size 8","ff.cpp : 83",FALSE
"204","Opt5PL","D_weight_1","Invalid read of size 8","ff.cpp : 13",FALSE
"205","Opt5PL","D_weight_2","Invalid read of size 8","ff.cpp : 13",FALSE
"206","Opt5PL","Minus","Invalid read of size 8","ff.cpp : 46",FALSE
"207","Opt5PL","Multiple","Invalid read of size 8","ff.cpp : 83",FALSE
"208","Opt5PL","Plus","Invalid read of size 8","ff.cpp : 63",FALSE
"209","PLMIX","CompProbZpartial","Invalid read of size 8","src/CompProbZpartial.cpp : 44",FALSE
"210","PLMIX","CompRateP","Invalid read of size 8","src/CompRateP.cpp : 48",FALSE
"211","PLMIX","CompRateYpartial","Invalid read of size 8","src/CompRateYpartial.cpp : 43",FALSE
"212","PLMIX","Estep","Invalid read of size 8","src/Estep.cpp : 47",FALSE
"213","PLMIX","SimYpsilon","Invalid read of size 8","src/SimYpsilon.cpp : 23",FALSE
"214","PLMIX","UpPhetpartial","Invalid read of size 8","src/UpPhetpartial.cpp : 76",FALSE
"215","PLMIX","loglikPLMIX","Invalid read of size 8","src/loglikPLMIX.cpp : 53",TRUE
"216","PP","Likgpcm","42 bytes in 1 blocks are possibly lost in loss record 21 of 1,352","GPCM4PL_stuff.cpp : 612",FALSE
"217","PP","P_gpcm","44 bytes in 1 blocks are possibly lost in loss record 22 of 1,350","GPCM4PL_stuff.cpp : 612",FALSE
"218","PP","sim_4pl","Invalid read of size 8","GPCM4PL_stuff.cpp : 1964",TRUE
"219","PPRL","WolframRule90","Argument 'size' of function __builtin_vec_new has a fishy (possibly negative) value: -1069438420
","src/WolframRule90.cpp : 17",FALSE
"220","PWD","logliknormLR","56 bytes in 1 blocks are possibly lost in loss record 33 of 1,327","PWD_rcpp.cpp : 59",FALSE
"221","PenCoxFrail","IntegrMultiCpp","68 bytes in 1 blocks are definitely lost in loss record 32 of 1,336","IntegrMulti.cpp : 31",FALSE
"222","Phase12Compare","MATMULT","Conditional jump or move depends on uninitialised value(s)","SPSOCODE.cpp : 48",FALSE
"223","ProFound","addmat","Invalid read of size 8","water_old.cpp : 11",FALSE
"224","ProFound","interpolateAkimaGrid","Invalid read of size 8","Array2.h : 103",FALSE
"225","ProFound","point_in_polygon","Invalid read of size 8","point_in_poly.cpp : 75",FALSE
"226","ProbReco","score","16 bytes in 1 blocks are definitely lost in loss record 17 of 1,330","scores.cpp : 32",FALSE
"227","ProjectionBasedClustering","DijkstraSSSP","Invalid write of size 8","src/DijkstraSSSP.cpp : 59",FALSE
"228","ProjectionBasedClustering","c_klmeasure","Invalid read of size 8","src/datamatrix.h : 56",FALSE
"229","ProjectionBasedClustering","klrank","Invalid read of size 8","src/nervprobability.cpp : 63",FALSE
"230","Qtools","C_midrqLoss","Invalid read of size 8","src/Qtools.cpp : 22",FALSE
"231","QuantTools","crossover","54 bytes in 1 blocks are possibly lost in loss record 26 of 1,352","src/crossover.cpp : 31",TRUE
"232","QuantTools","roll_sd_filter","8 bytes in 1 blocks are definitely lost in loss record 11 of 1,354","src/roll_sd_filter.cpp : 33",TRUE
"233","QuantTools","sma","49 bytes in 1 blocks are possibly lost in loss record 25 of 1,352","src/../inst/include/Indicators/Sma.h : 40",TRUE
"234","Quartet","all_quartets","Invalid write of size 4","AllQuartets.cpp : 39",FALSE
"235","Quartet","tqdist_OneToManyQuartetAgreementChar","62 bytes in 1 blocks are possibly lost in loss record 36 of 1,338","NewickParser.cpp : 77",TRUE
"236","Quartet","tqdist_QuartetAgreementChar","62 bytes in 1 blocks are possibly lost in loss record 36 of 1,339","NewickParser.cpp : 77",TRUE
"237","Quartet","which_index","41 bytes in 1 blocks are possibly lost in loss record 21 of 1,322","AllQuartets.cpp : 51",FALSE
"238","RGeode","CgenerateTau_root","Invalid read of size 8","CgenerateTau_root.cpp : 32",FALSE
"239","RGeode","CgenerateU_root","59 bytes in 1 blocks are possibly lost in loss record 31 of 1,353","CgenerateU_root.cpp : 24",FALSE
"240","RMPSH","anti_transformation","Invalid read of size 8","anti_transformation.cpp : 10",FALSE
"241","RMPSH","transformation","Invalid read of size 8","transformation.cpp : 11",FALSE
"242","RSSL","factor_to_dummy_cpp","100 bytes in 1 blocks are possibly lost in loss record 51 of 1,327","utils.cpp : 67",FALSE
"243","RStoolbox","rescaleImageCpp","59 bytes in 1 blocks are possibly lost in loss record 31 of 1,323","rescaleImage.cpp : 6",FALSE
"244","RStoolbox","spectralIndicesCpp","Invalid read of size 8","spectralIndices.cpp : 32",FALSE
"245","RTransferEntropy","calculate_transition_probabilities","Invalid read of size 8","calculate_transition_probabilities.cpp : 29",FALSE
"246","RZigZag","ZigZagIIDGaussian","Invalid read of size 8","VariousSamplers.cpp : 29",TRUE
"247","RaceID","ProbFun","Invalid read of size 8","VarID.cpp : 23",FALSE
"248","RcppCWB","ids_to_count_matrix","60 bytes in 1 blocks are possibly lost in loss record 33 of 1,270","higher_level_functions.cpp : 145",FALSE
"249","RcppDynProg","const_costs","52 bytes in 1 blocks are possibly lost in loss record 26 of 1,354","src/const_costs.cpp : 17",TRUE
"250","RcppDynProg","const_costs_logistic","53 bytes in 1 blocks are possibly lost in loss record 26 of 1,352","src/const_costs_logistic.cpp : 20",TRUE
"251","RcppDynProg","lin_cost","51 bytes in 1 blocks are possibly lost in loss record 26 of 1,351","src/xlin_fits.cpp : 23",TRUE
